price_index;gdp_index;gdp_growth;unemployment;average_workers;families_wealth;families_savings;firms_wealth;firms_profit;gini_index;average_utility;inflation;average_qli
134.442;14983.553999999998;-7.795;6.275;69.33;23836.674;832819.1;2971639.522;-111.49;0.232;207.853;0.0;0.6331
126.453;31298.11;-1.247;12.64;117.2;43832.685;1851694.634;4243576.839;3558.157;0.248;192.326;0.0;0.6431
131.874;70567.453;-1.5719999999999998;4.455;65.139;98519.112;3340058.154;10126532.803;2031.683;0.221;215.855;0.0003;0.7096
150.749;9394.116;7.75;7.734;87.208;12699.419;447674.61;1169693.584;1405.32;0.236;203.302;0.0;0.6377
138.05;57937.555;-1.248;2.774;49.618;80828.371;2849333.797;10252278.041;872.6289999999998;0.207;224.49400000000003;0.0009;0.8506
150.862;19397.65;-3.799;2.867;53.06;27602.501;852050.9;2924705.9460000005;-126.701;0.214;222.273;0.0;0.7927
150.409;9390.781;-9.048;3.79;64.327;14682.718;480650.127;1527731.9719999996;-379.945;0.219;220.703;0.0;0.7703
142.27100000000004;9647.194;-3.161;3.683;31.802;14225.315;544088.596;2757831.829;92.747;0.218;189.503;0.0011;0.8282
125.614;17201.247;1.989;4.9060000000000015;60.347;23444.4;865955.819;2800164.175;1237.928;0.223;210.003;0.0;0.7523
134.012;73111.439;4.0360000000000005;2.8680000000000003;46.806;104568.021;3380353.731;12587161.472;5019.23;0.212;217.974;0.0005;0.7659999999999999
134.514;10524.807;4.675;6.053;70.402;14418.431;562517.413;1744015.96;1206.336;0.23;204.704;0.0;0.6881
133.314;18917.533;-5.043;3.364;36.188;27966.92;918383.922;4158765.616;-324.95;0.213;201.052;0.0;0.8077
148.495;60647.185;0.648;6.396;80.68;87771.53;3162581.833;8919634.19;4219.4940000000015;0.227;205.877;0.0;0.6579999999999999
133.497;43019.012;-0.68;2.854;49.229;63398.993;2073038.465;7383231.624;938.791;0.212;218.628;0.0004;0.7443
153.888;8334.282;-11.277;5.147;67.0;12891.462;489974.26700000005;1448469.204;-491.536;0.226;211.444;0.0;0.6687
137.741;10847.58;2.191;3.318;59.364;14942.928;512600.39;1766122.5269999998;565.3340000000002;0.214;218.202;0.0;0.7486
150.44799999999995;21398.859;2.069;4.908;71.78699999999998;31667.765;1020082.542;3013720.076000001;1508.846;0.221;216.676;0.0;0.6487
132.595;16655.273;4.173;3.057;44.303;24632.896;797196.745;3195871.819;1292.489;0.209;214.197;0.0;0.8294
153.105;6558.314;0.552;11.296;98.39;9066.854;360593.741;885296.787;686.877;0.245;189.945;0.0;0.6459
134.57;12143.593;-5.229;3.345;35.808;18933.712;612020.226;2808846.868;-189.542;0.21600000000000005;204.972;0.0012;0.9066
132.145;16254.243;2.466;2.169;57.886;22767.544;718227.296;2197919.265;824.8969999999998;0.212;224.86900000000003;0.0;0.8261
145.53;16304.466;-5.865;3.29;38.57;22900.339;816925.2;4108201.831;-395.121;0.215;208.596;0.0009;0.8171
150.09;5669.781999999998;17.528;18.959;126.822;8829.07;330728.213;760702.234;1874.388;0.272;166.36900000000003;0.0;0.6134
149.43200000000004;19194.849;2.075;8.177999999999999;84.08;28292.366;979711.806;2632553.93;1906.307;0.237;201.264;0.0;0.6142
148.629;23242.602000000006;2.321;15.066;125.65;33472.602;1361421.632;2907617.431000001;3841.268;0.251;183.74400000000003;0.0;0.6525
140.43200000000002;11889.002;-4.02;3.721;34.74;16967.828999999998;597917.216;3053747.651;-67.44;0.218;198.671;0.0;0.7976
146.42600000000004;23278.422;-0.5579999999999999;5.857;72.295;33149.79;1210294.783;3509541.665;1267.454;0.229;208.75;0.0;0.6757
138.961;18490.582;-4.516;3.153;42.989;28203.057;885748.8;3744326.248;-251.568;0.213;210.603;0.0;0.7895
153.727;13283.575;8.106;2.6710000000000003;55.846;20239.422;645189.517;1993382.277;1394.987;0.21;229.346;0.0;0.8274
149.701;6455.603;-9.51;9.134;87.46700000000001;10226.674;416135.93;1093244.12;70.764;0.248;189.687;0.0;0.6426
134.256;73214.13900000001;-0.664;2.774;46.485;105268.227;3572574.858;12784053.623;1579.679;0.208;225.803;0.0005;0.8197
135.115;72496.254;1.048;6.496;83.729;104253.327;3783250.466;10227720.813;5469.656;0.231;213.317;0.0004;0.6981
134.047;18973.806;-2.1;3.443;37.092;25722.267000000003;858920.802;3805988.47;312.68;0.213;204.058;0.0;0.8405
