;tot_actual;actual_0;actual_1;tot_Tree;Tree_0;Tree_1;tot_SVC;SVC_0;SVC_1;tot_MPL;MPL_0;MPL_1;tot_Voting;Voting_0;Voting_1
ALPHA;0.247845;0.249010;0.240000;0.249247;0.249371;0.241077;0.249247;0.249340;0.246030;0.249247;0.249351;0.223361;0.249247;0.249275;0.246687
ALTERNATIVE0_False;0.077586;0.074257;0.100000;0.483000;0.482234;0.533333;0.483000;0.484568;0.428571;0.483000;0.482932;0.500000;0.483000;0.483316;0.454545
ALTERNATIVE0_True;0.922414;0.925743;0.900000;0.517000;0.517766;0.466667;0.517000;0.515432;0.571429;0.517000;0.517068;0.500000;0.517000;0.516684;0.545455
BETA;0.700733;0.698218;0.717667;0.700473;0.700308;0.711285;0.700473;0.700108;0.713116;0.700473;0.700513;0.690472;0.700473;0.700385;0.708316
FPM_DISTRIBUTION_False;0.077586;0.074257;0.100000;0.504000;0.506599;0.333333;0.504000;0.511317;0.250000;0.504000;0.505020;0.250000;0.504000;0.506572;0.272727
FPM_DISTRIBUTION_True;0.922414;0.925743;0.900000;0.496000;0.493401;0.666667;0.496000;0.488683;0.750000;0.496000;0.494980;0.750000;0.496000;0.493428;0.727273
HOUSE_VACANCY;0.060948;0.062574;0.050000;0.061130;0.061070;0.065044;0.061130;0.060968;0.066746;0.061130;0.061200;0.043612;0.061130;0.061025;0.070546
LABOR_MARKET;0.067457;0.070050;0.050000;0.094467;0.094701;0.079107;0.094467;0.094985;0.076503;0.094467;0.094347;0.124437;0.094467;0.094510;0.090652
MARKUP;0.213685;0.210520;0.235000;0.211246;0.210460;0.262847;0.211246;0.210311;0.243709;0.211246;0.211346;0.186425;0.211246;0.211191;0.216155
MEMBERS_PER_FAMILY;2.510776;2.512376;2.500000;2.517508;2.516341;2.594157;2.517508;2.516827;2.541159;2.517508;2.517112;2.616010;2.517508;2.516962;2.566622
PCT_DISTANCE_HIRING;0.187069;0.184703;0.203000;0.195280;0.195451;0.184089;0.195280;0.195493;0.187887;0.195280;0.195155;0.226457;0.195280;0.195603;0.166296
PERCENTAGE_ACTUAL_POP;0.018578;0.018366;0.020000;0.018460;0.018485;0.016798;0.018460;0.018473;0.018021;0.018460;0.018471;0.015809;0.018460;0.018467;0.017832
PERCENTAGE_CHECK_NEW_LOCATION;0.012690;0.008812;0.038800;0.020970;0.020750;0.035408;0.020970;0.020716;0.029796;0.020970;0.021011;0.010737;0.020970;0.020872;0.029757
PROCESSING_ACPS_ARACAJU;0.004310;0.004950;0.000000;0.020000;0.020305;0.000000;0.020000;0.020576;0.000000;0.020000;0.020080;0.000000;0.020000;0.020222;0.000000
PROCESSING_ACPS_BELEM;0.004310;0.004950;0.000000;0.022000;0.022335;0.000000;0.022000;0.022634;0.000000;0.022000;0.022088;0.000000;0.022000;0.022245;0.000000
PROCESSING_ACPS_BELO HORIZONTE;0.073276;0.039604;0.300000;0.018000;0.015228;0.200000;0.018000;0.011317;0.250000;0.018000;0.018072;0.000000;0.018000;0.014156;0.363636
PROCESSING_ACPS_BRASILIA;0.392241;0.430693;0.133333;0.021000;0.021320;0.000000;0.021000;0.021605;0.000000;0.021000;0.021084;0.000000;0.021000;0.021234;0.000000
PROCESSING_ACPS_CAMPINA GRANDE;0.004310;0.004950;0.000000;0.035000;0.035533;0.000000;0.035000;0.036008;0.000000;0.035000;0.035141;0.000000;0.035000;0.035389;0.000000
