;tot_actual;actual_0;actual_1;tot_Tree;Tree_0;Tree_1;tot_SVC;SVC_0;SVC_1;tot_MPL;MPL_0;MPL_1;tot_Voting;Voting_0;Voting_1
PROCESSING_ACPS_CAMPINAS;0.008621;0.009901;0.000000;0.018000;0.018274;0.000000;0.018000;0.018519;0.000000;0.018000;0.018072;0.000000;0.018000;0.018200;0.000000
PROCESSING_ACPS_CAMPO GRANDE;0.004310;0.004950;0.000000;0.022000;0.021320;0.066667;0.022000;0.021605;0.035714;0.022000;0.022088;0.000000;0.022000;0.022245;0.000000
PROCESSING_ACPS_CAMPOS DOS GOYTACAZES;0.004310;0.004950;0.000000;0.022000;0.022335;0.000000;0.022000;0.022634;0.000000;0.022000;0.022088;0.000000;0.022000;0.022245;0.000000
PROCESSING_ACPS_CAXIAS DO SUL;0.004310;0.004950;0.000000;0.028000;0.028426;0.000000;0.028000;0.028807;0.000000;0.028000;0.028112;0.000000;0.028000;0.028311;0.000000
PROCESSING_ACPS_CUIABA;0.004310;0.004950;0.000000;0.017000;0.017259;0.000000;0.017000;0.017490;0.000000;0.017000;0.017068;0.000000;0.017000;0.017189;0.000000
PROCESSING_ACPS_CURITIBA;0.051724;0.059406;0.000000;0.020000;0.020305;0.000000;0.020000;0.020576;0.000000;0.020000;0.020080;0.000000;0.020000;0.020222;0.000000
PROCESSING_ACPS_FEIRA DE SANTANA;0.004310;0.004950;0.000000;0.025000;0.025381;0.000000;0.025000;0.025720;0.000000;0.025000;0.025100;0.000000;0.025000;0.025278;0.000000
PROCESSING_ACPS_FLORIANOPOLIS;0.004310;0.004950;0.000000;0.022000;0.022335;0.000000;0.022000;0.022634;0.000000;0.022000;0.022088;0.000000;0.022000;0.022245;0.000000
PROCESSING_ACPS_FORTALEZA;0.004310;0.004950;0.000000;0.019000;0.019289;0.000000;0.019000;0.019547;0.000000;0.019000;0.019076;0.000000;0.019000;0.019211;0.000000
PROCESSING_ACPS_GOIANIA;0.004310;0.004950;0.000000;0.018000;0.018274;0.000000;0.018000;0.018519;0.000000;0.018000;0.018072;0.000000;0.018000;0.018200;0.000000
PROCESSING_ACPS_ILHEUS - ITABUNA;0.004310;0.004950;0.000000;0.023000;0.023350;0.000000;0.023000;0.023663;0.000000;0.023000;0.023092;0.000000;0.023000;0.023256;0.000000
PROCESSING_ACPS_IPATINGA;0.021552;0.024752;0.000000;0.021000;0.021320;0.000000;0.021000;0.021605;0.000000;0.021000;0.021084;0.000000;0.021000;0.021234;0.000000
PROCESSING_ACPS_JOAO PESSOA;0.004310;0.004950;0.000000;0.017000;0.017259;0.000000;0.017000;0.017490;0.000000;0.017000;0.017068;0.000000;0.017000;0.017189;0.000000
PROCESSING_ACPS_JOINVILLE;0.004310;0.004950;0.000000;0.024000;0.024365;0.000000;0.024000;0.024691;0.000000;0.024000;0.024096;0.000000;0.024000;0.024267;0.000000
PROCESSING_ACPS_JUAZEIRO DO NORTE - CRATO - BARBALHA;0.004310;0.004950;0.000000;0.021000;0.021320;0.000000;0.021000;0.021605;0.000000;0.021000;0.021084;0.000000;0.021000;0.021234;0.000000
PROCESSING_ACPS_JUIZ DE FORA;0.004310;0.004950;0.000000;0.025000;0.025381;0.000000;0.025000;0.025720;0.000000;0.025000;0.025100;0.000000;0.025000;0.025278;0.000000
PROCESSING_ACPS_JUNDIAI;0.004310;0.004950;0.000000;0.021000;0.021320;0.000000;0.021000;0.021605;0.000000;0.021000;0.021084;0.000000;0.021000;0.021234;0.000000
PROCESSING_ACPS_LONDRINA;0.004310;0.004950;0.000000;0.027000;0.027411;0.000000;0.027000;0.026749;0.035714;0.027000;0.027108;0.000000;0.027000;0.027300;0.000000
PROCESSING_ACPS_MACAPA;0.004310;0.004950;0.000000;0.022000;0.022335;0.000000;0.022000;0.022634;0.000000;0.022000;0.022088;0.000000;0.022000;0.022245;0.000000
PROCESSING_ACPS_MACEIO;0.004310;0.004950;0.000000;0.022000;0.022335;0.000000;0.022000;0.021605;0.035714;0.022000;0.022088;0.000000;0.022000;0.022245;0.000000
PROCESSING_ACPS_MANAUS;0.004310;0.004950;0.000000;0.026000;0.026396;0.000000;0.026000;0.026749;0.000000;0.026000;0.026104;0.000000;0.026000;0.026289;0.000000
PROCESSING_ACPS_MARINGA;0.004310;0.004950;0.000000;0.024000;0.024365;0.000000;0.024000;0.024691;0.000000;0.024000;0.024096;0.000000;0.024000;0.024267;0.000000
PROCESSING_ACPS_NATAL;0.004310;0.004950;0.000000;0.036000;0.036548;0.000000;0.036000;0.037037;0.000000;0.036000;0.036145;0.000000;0.036000;0.036400;0.000000
PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;0.004310;0.004950;0.000000;0.017000;0.017259;0.000000;0.017000;0.017490;0.000000;0.017000;0.017068;0.000000;0.017000;0.017189;0.000000
PROCESSING_ACPS_PELOTAS - RIO GRANDE;0.004310;0.004950;0.000000;0.024000;0.023350;0.066667;0.024000;0.024691;0.000000;0.024000;0.024096;0.000000;0.024000;0.024267;0.000000
PROCESSING_ACPS_PETROLINA - JUAZEIRO;0.004310;0.004950;0.000000;0.022000;0.022335;0.000000;0.022000;0.022634;0.000000;0.022000;0.022088;0.000000;0.022000;0.022245;0.000000
PROCESSING_ACPS_PORTO ALEGRE;0.258621;0.247525;0.333333;0.019000;0.019289;0.000000;0.019000;0.019547;0.000000;0.019000;0.019076;0.000000;0.019000;0.019211;0.000000
PROCESSING_ACPS_RECIFE;0.004310;0.004950;0.000000;0.017000;0.017259;0.000000;0.017000;0.017490;0.000000;0.017000;0.017068;0.000000;0.017000;0.017189;0.000000
PROCESSING_ACPS_RIBEIRAO PRETO;0.004310;0.004950;0.000000;0.019000;0.019289;0.000000;0.019000;0.018519;0.035714;0.019000;0.018072;0.250000;0.019000;0.019211;0.000000
PROCESSING_ACPS_RIO DE JANEIRO;0.021552;0.000000;0.166667;0.016000;0.007107;0.600000;0.016000;0.003086;0.464286;0.016000;0.013052;0.750000;0.016000;0.009100;0.636364
PROCESSING_ACPS_SALVADOR;0.004310;0.000000;0.033333;0.020000;0.020305;0.000000;0.020000;0.020576;0.000000;0.020000;0.020080;0.000000;0.020000;0.020222;0.000000
PROCESSING_ACPS_SANTOS;0.004310;0.004950;0.000000;0.026000;0.026396;0.000000;0.026000;0.026749;0.000000;0.026000;0.026104;0.000000;0.026000;0.026289;0.000000
PROCESSING_ACPS_SAO JOSE DO RIO PRETO;0.004310;0.004950;0.000000;0.015000;0.015228;0.000000;0.015000;0.015432;0.000000;0.015000;0.015060;0.000000;0.015000;0.015167;0.000000
PROCESSING_ACPS_SAO JOSE DOS CAMPOS;0.004310;0.004950;0.000000;0.023000;0.023350;0.000000;0.023000;0.023663;0.000000;0.023000;0.023092;0.000000;0.023000;0.023256;0.000000
PROCESSING_ACPS_SAO LUIS;0.004310;0.004950;0.000000;0.027000;0.027411;0.000000;0.027000;0.027778;0.000000;0.027000;0.027108;0.000000;0.027000;0.027300;0.000000
PROCESSING_ACPS_SAO PAULO;0.004310;0.000000;0.033333;0.015000;0.014213;0.066667;0.015000;0.012346;0.107143;0.015000;0.015060;0.000000;0.015000;0.015167;0.000000
PROCESSING_ACPS_SOROCABA;0.008621;0.009901;0.000000;0.022000;0.022335;0.000000;0.022000;0.022634;0.000000;0.022000;0.022088;0.000000;0.022000;0.022245;0.000000
PROCESSING_ACPS_TERESINA;0.004310;0.004950;0.000000;0.022000;0.022335;0.000000;0.022000;0.021605;0.035714;0.022000;0.022088;0.000000;0.022000;0.022245;0.000000
PROCESSING_ACPS_UBERLANDIA;0.004310;0.004950;0.000000;0.017000;0.017259;0.000000;0.017000;0.017490;0.000000;0.017000;0.017068;0.000000;0.017000;0.017189;0.000000
PROCESSING_ACPS_VITORIA;0.004310;0.004950;0.000000;0.024000;0.024365;0.000000;0.024000;0.024691;0.000000;0.024000;0.024096;0.000000;0.024000;0.024267;0.000000
PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;0.004310;0.004950;0.000000;0.019000;0.019289;0.000000;0.019000;0.019547;0.000000;0.019000;0.019076;0.000000;0.019000;0.019211;0.000000
PRODUCTION_MAGNITUDE;80.661638;81.353960;76.000000;81.780679;81.840726;77.837612;81.780679;81.693922;84.792391;81.780679;81.825274;70.676462;81.780679;81.727319;86.578218
SIZE_MARKET;10.206897;10.237624;10.000000;10.172769;10.171705;10.242615;10.172769;10.168852;10.308715;10.172769;10.176826;9.162371;10.172769;10.183803;9.180686
STICKY_PRICES;0.507759;0.508911;0.500000;0.505176;0.504920;0.521971;0.505176;0.505177;0.505129;0.505176;0.505070;0.531424;0.505176;0.505327;0.491590
TAX_CONSUMPTION;0.000645;0.000683;0.000392;0.000848;0.000850;0.000731;0.000848;0.000849;0.000812;0.000848;0.000848;0.000739;0.000848;0.000848;0.000814
TAX_ESTATE_TRANSACTION;0.000484;0.000556;0.000001;0.000978;0.000977;0.001060;0.000978;0.000973;0.001155;0.000978;0.000978;0.001057;0.000978;0.000974;0.001294
TAX_FIRM;0.000531;0.000545;0.000433;0.000547;0.000548;0.000483;0.000547;0.000546;0.000581;0.000547;0.000546;0.000583;0.000547;0.000546;0.000602
TAX_LABOR;0.000195;0.000204;0.000133;0.000240;0.000241;0.000209;0.000240;0.000240;0.000255;0.000240;0.000240;0.000200;0.000240;0.000240;0.000212
TAX_PROPERTY;0.000002;0.000002;0.000001;0.000003;0.000003;0.000003;0.000003;0.000003;0.000002;0.000003;0.000003;0.000001;0.000003;0.000003;0.000002
TREASURE_INTO_SERVICES;0.850129;0.827871;1.000000;0.839406;0.838072;0.927006;0.839406;0.837855;0.893250;0.839406;0.837562;1.298447;0.839406;0.839364;0.843209
WAGE_IGNORE_UNEMPLOYMENT_False;0.995690;0.995050;1.000000;0.495000;0.493401;0.600000;0.495000;0.482510;0.928571;0.495000;0.493976;0.750000;0.495000;0.489383;1.000000
WAGE_IGNORE_UNEMPLOYMENT_True;0.004310;0.004950;0.000000;0.505000;0.506599;0.400000;0.505000;0.517490;0.071429;0.505000;0.506024;0.250000;0.505000;0.510617;0.000000
