;tot_actual;actual_0;actual_1;tot_Tree;Tree_0;Tree_1;tot_SVC;SVC_0;SVC_1;tot_MPL;MPL_0;MPL_1;tot_Voting;Voting_0;Voting_1
ALPHA;0.247845;0.248545;0.240000;0.258890;0.259000;0.250293;0.258890;0.258873;0.259215;0.258890;0.258891;0.258793;0.258890;0.258868;0.270220
ALTERNATIVE0_False;0.077586;0.075117;0.105263;0.500710;0.502426;0.366587;0.500710;0.501331;0.488876;0.500710;0.504313;0.213710;0.500710;0.501142;0.280612
ALTERNATIVE0_True;0.922414;0.924883;0.894737;0.499290;0.497574;0.633413;0.499290;0.498669;0.511124;0.499290;0.495687;0.786290;0.499290;0.498858;0.719388
BETA;0.700733;0.698216;0.728947;0.700867;0.700525;0.727584;0.700867;0.700165;0.714234;0.700867;0.700832;0.703613;0.700867;0.700818;0.725577
FPM_DISTRIBUTION_False;0.077586;0.075117;0.105263;0.499130;0.500461;0.395091;0.499130;0.500279;0.477250;0.499130;0.501407;0.317742;0.499130;0.499379;0.372449
FPM_DISTRIBUTION_True;0.922414;0.924883;0.894737;0.500870;0.499539;0.604909;0.500870;0.499721;0.522750;0.500870;0.498593;0.682258;0.500870;0.500621;0.627551
HOUSE_VACANCY;0.060948;0.061925;0.050000;0.077632;0.077813;0.063474;0.077632;0.077685;0.076624;0.077632;0.077620;0.078543;0.077632;0.077649;0.068685
LABOR_MARKET;0.067457;0.068451;0.056316;0.140088;0.139856;0.158246;0.140088;0.140068;0.140465;0.140088;0.140074;0.141165;0.140088;0.140078;0.145106
MARKUP;0.213685;0.211620;0.236842;0.238241;0.237717;0.279209;0.238241;0.238208;0.238873;0.238241;0.238280;0.235206;0.238241;0.238222;0.247934
MEMBERS_PER_FAMILY;2.510776;2.511737;2.500000;2.510673;2.510666;2.511155;2.510673;2.510476;2.514421;2.510673;2.508934;2.649125;2.510673;2.510468;2.614876
PCT_DISTANCE_HIRING;0.187069;0.183944;0.222105;0.244514;0.243971;0.286925;0.244514;0.244444;0.245848;0.244514;0.244565;0.240413;0.244514;0.244495;0.254232
PERCENTAGE_ACTUAL_POP;0.018578;0.018451;0.020000;0.019071;0.019052;0.020587;0.019071;0.019074;0.019028;0.019071;0.019072;0.019025;0.019071;0.019070;0.019846
