;tot_actual;actual_0;actual_1;tot_Tree;Tree_0;Tree_1;tot_SVC;SVC_0;SVC_1;tot_MPL;MPL_0;MPL_1;tot_Voting;Voting_0;Voting_1
PERCENTAGE_CHECK_NEW_LOCATION;0.012690;0.012930;0.010000;0.032137;0.032160;0.030292;0.032137;0.032141;0.032058;0.032137;0.032157;0.030556;0.032137;0.032136;0.032443
PROCESSING_ACPS_ARACAJU;0.004310;0.004695;0.000000;0.022320;0.022606;0.000000;0.022320;0.023408;0.001604;0.022320;0.022327;0.021774;0.022320;0.022364;0.000000
PROCESSING_ACPS_BELEM;0.004310;0.004695;0.000000;0.021540;0.021816;0.000000;0.021540;0.022618;0.001002;0.021540;0.021618;0.015323;0.021540;0.021572;0.005102
PROCESSING_ACPS_BELO HORIZONTE;0.073276;0.061033;0.210526;0.021170;0.021086;0.027712;0.021170;0.022197;0.001604;0.021170;0.021233;0.016129;0.021170;0.021182;0.015306
PROCESSING_ACPS_BRASILIA;0.392241;0.427230;0.000000;0.021790;0.022069;0.000000;0.021790;0.022903;0.000601;0.021790;0.022033;0.002419;0.021790;0.021833;0.000000
PROCESSING_ACPS_CAMPINA GRANDE;0.004310;0.004695;0.000000;0.021380;0.021653;0.000000;0.021380;0.022450;0.001002;0.021380;0.021365;0.022581;0.021380;0.021412;0.005102
PROCESSING_ACPS_CAMPINAS;0.008621;0.009390;0.000000;0.021830;0.022089;0.001584;0.021830;0.022955;0.000401;0.021830;0.021800;0.024194;0.021830;0.021873;0.000000
PROCESSING_ACPS_CAMPO GRANDE;0.004310;0.004695;0.000000;0.021730;0.021998;0.000792;0.021730;0.022776;0.001804;0.021730;0.021760;0.019355;0.021730;0.021753;0.010204
PROCESSING_ACPS_CAMPOS DOS GOYTACAZES;0.004310;0.004695;0.000000;0.021880;0.022140;0.001584;0.021880;0.022987;0.000802;0.021880;0.021912;0.019355;0.021880;0.021913;0.005102
PROCESSING_ACPS_CAXIAS DO SUL;0.004310;0.004695;0.000000;0.021500;0.021755;0.001584;0.021500;0.022608;0.000401;0.021500;0.021628;0.011290;0.021500;0.021532;0.005102
PROCESSING_ACPS_CUIABA;0.004310;0.004695;0.000000;0.021730;0.021988;0.001584;0.021730;0.022661;0.004009;0.021730;0.021729;0.021774;0.021730;0.021763;0.005102
PROCESSING_ACPS_CURITIBA;0.051724;0.056338;0.000000;0.021460;0.021735;0.000000;0.021460;0.022513;0.001403;0.021460;0.021598;0.010484;0.021460;0.021502;0.000000
PROCESSING_ACPS_FEIRA DE SANTANA;0.004310;0.004695;0.000000;0.021900;0.022180;0.000000;0.021900;0.022945;0.002004;0.021900;0.021972;0.016129;0.021900;0.021933;0.005102
PROCESSING_ACPS_FLORIANOPOLIS;0.004310;0.004695;0.000000;0.022240;0.022514;0.000792;0.022240;0.023145;0.005011;0.022240;0.022165;0.028226;0.022240;0.022264;0.010204
PROCESSING_ACPS_FORTALEZA;0.004310;0.004695;0.000000;0.021810;0.022089;0.000000;0.021810;0.022745;0.004009;0.021810;0.021729;0.028226;0.021810;0.021853;0.000000
PROCESSING_ACPS_GOIANIA;0.004310;0.004695;0.000000;0.021900;0.022140;0.003167;0.021900;0.022892;0.003007;0.021900;0.021922;0.020161;0.021900;0.021943;0.000000
PROCESSING_ACPS_ILHEUS - ITABUNA;0.004310;0.004695;0.000000;0.022000;0.022281;0.000000;0.022000;0.023071;0.001604;0.022000;0.021932;0.027419;0.022000;0.022033;0.005102
PROCESSING_ACPS_IPATINGA;0.021552;0.023474;0.000000;0.022190;0.022464;0.000792;0.022190;0.023324;0.000601;0.022190;0.022185;0.022581;0.022190;0.022224;0.005102
PROCESSING_ACPS_JOAO PESSOA;0.004310;0.004695;0.000000;0.021740;0.022018;0.000000;0.021740;0.022861;0.000401;0.021740;0.021770;0.019355;0.021740;0.021783;0.000000
PROCESSING_ACPS_JOINVILLE;0.004310;0.004695;0.000000;0.022230;0.022494;0.001584;0.022230;0.023345;0.001002;0.022230;0.022175;0.026613;0.022230;0.022264;0.005102
PROCESSING_ACPS_JUAZEIRO DO NORTE - CRATO - BARBALHA;0.004310;0.004695;0.000000;0.021300;0.021552;0.001584;0.021300;0.022376;0.000802;0.021300;0.021284;0.022581;0.021300;0.021332;0.005102
PROCESSING_ACPS_JUIZ DE FORA;0.004310;0.004695;0.000000;0.022220;0.022504;0.000000;0.022220;0.023334;0.001002;0.022220;0.022266;0.018548;0.022220;0.022234;0.015306
PROCESSING_ACPS_JUNDIAI;0.004310;0.000000;0.052632;0.020420;0.019425;0.098179;0.020420;0.005568;0.303267;0.020420;0.020180;0.039516;0.020420;0.020180;0.142857
PROCESSING_ACPS_LONDRINA;0.004310;0.004695;0.000000;0.021760;0.022028;0.000792;0.021760;0.022703;0.003808;0.021760;0.021709;0.025806;0.021760;0.021803;0.000000
PROCESSING_ACPS_MACAPA;0.004310;0.004695;0.000000;0.020730;0.020975;0.001584;0.020730;0.021661;0.003007;0.020730;0.020656;0.026613;0.020730;0.020761;0.005102
PROCESSING_ACPS_MACEIO;0.004310;0.004695;0.000000;0.021430;0.021704;0.000000;0.021430;0.022503;0.001002;0.021430;0.021466;0.018548;0.021430;0.021462;0.005102
PROCESSING_ACPS_MANAUS;0.004310;0.004695;0.000000;0.022020;0.022292;0.000792;0.022020;0.023082;0.001804;0.022020;0.022114;0.014516;0.022020;0.022063;0.000000
PROCESSING_ACPS_MARINGA;0.004310;0.004695;0.000000;0.021900;0.022150;0.002375;0.021900;0.022997;0.001002;0.021900;0.021790;0.030645;0.021900;0.021933;0.005102
PROCESSING_ACPS_NATAL;0.004310;0.004695;0.000000;0.021170;0.021441;0.000000;0.021170;0.022113;0.003207;0.021170;0.021122;0.025000;0.021170;0.021202;0.005102
PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;0.004310;0.004695;0.000000;0.022310;0.022575;0.001584;0.022310;0.023324;0.003007;0.022310;0.022418;0.013710;0.022310;0.022344;0.005102
PROCESSING_ACPS_PELOTAS - RIO GRANDE;0.004310;0.004695;0.000000;0.021940;0.022211;0.000792;0.021940;0.023060;0.000601;0.021940;0.021972;0.019355;0.021940;0.021983;0.000000
PROCESSING_ACPS_PETROLINA - JUAZEIRO;0.004310;0.004695;0.000000;0.020940;0.021208;0.000000;0.020940;0.021787;0.004811;0.020940;0.020960;0.019355;0.020940;0.020971;0.005102
PROCESSING_ACPS_PORTO ALEGRE;0.258621;0.244131;0.421053;0.021390;0.021593;0.005542;0.021390;0.022471;0.000802;0.021390;0.021385;0.021774;0.021390;0.021422;0.005102
PROCESSING_ACPS_RECIFE;0.004310;0.004695;0.000000;0.021000;0.021248;0.001584;0.021000;0.022050;0.001002;0.021000;0.021011;0.020161;0.021000;0.021041;0.000000
PROCESSING_ACPS_RIBEIRAO PRETO;0.004310;0.004695;0.000000;0.021570;0.021816;0.002375;0.021570;0.022618;0.001604;0.021570;0.021618;0.017742;0.021570;0.021592;0.010204
PROCESSING_ACPS_RIO DE JANEIRO;0.021552;0.000000;0.263158;0.021510;0.012589;0.718923;0.021510;0.006168;0.313690;0.021510;0.021021;0.060484;0.021510;0.020681;0.443878
PROCESSING_ACPS_SALVADOR;0.004310;0.004695;0.000000;0.022360;0.022626;0.001584;0.022360;0.023345;0.003608;0.022360;0.022418;0.017742;0.022360;0.022384;0.010204
PROCESSING_ACPS_SANTOS;0.004310;0.000000;0.052632;0.021940;0.020742;0.115598;0.021940;0.006883;0.308679;0.021940;0.021709;0.040323;0.021940;0.021552;0.219388
PROCESSING_ACPS_SAO JOSE DO RIO PRETO;0.004310;0.004695;0.000000;0.022410;0.022687;0.000792;0.022410;0.023545;0.000802;0.022410;0.022428;0.020968;0.022410;0.022454;0.000000
PROCESSING_ACPS_SAO JOSE DOS CAMPOS;0.004310;0.004695;0.000000;0.021890;0.022170;0.000000;0.021890;0.023029;0.000200;0.021890;0.021922;0.019355;0.021890;0.021913;0.010204
PROCESSING_ACPS_SAO LUIS;0.004310;0.004695;0.000000;0.022360;0.022646;0.000000;0.022360;0.023450;0.001604;0.022360;0.022377;0.020968;0.022360;0.022384;0.010204
PROCESSING_ACPS_SAO PAULO;0.004310;0.004695;0.000000;0.021420;0.021664;0.002375;0.021420;0.022503;0.000802;0.021420;0.021507;0.014516;0.021420;0.021462;0.000000
PROCESSING_ACPS_SOROCABA;0.008621;0.009390;0.000000;0.022030;0.022312;0.000000;0.022030;0.023134;0.001002;0.022030;0.022074;0.018548;0.022030;0.022073;0.000000
PROCESSING_ACPS_TERESINA;0.004310;0.004695;0.000000;0.020870;0.021137;0.000000;0.020870;0.021861;0.002004;0.020870;0.020950;0.014516;0.020870;0.020911;0.000000
PROCESSING_ACPS_UBERLANDIA;0.004310;0.004695;0.000000;0.021990;0.022251;0.001584;0.021990;0.023082;0.001203;0.021990;0.021993;0.021774;0.021990;0.022023;0.005102
PROCESSING_ACPS_VITORIA;0.004310;0.004695;0.000000;0.022360;0.022636;0.000792;0.022360;0.023387;0.002806;0.022360;0.022347;0.023387;0.022360;0.022404;0.000000
PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;0.004310;0.004695;0.000000;0.022420;0.022707;0.000000;0.022420;0.023566;0.000601;0.022420;0.022448;0.020161;0.022420;0.022444;0.010204
PRODUCTION_MAGNITUDE;80.661638;81.197183;74.657895;81.304710;81.369665;76.226678;81.304710;80.601729;94.692330;81.304710;81.727963;47.594588;81.304710;81.354639;55.880627
SIZE_MARKET;10.206897;10.225352;10.000000;10.283259;10.284274;10.203915;10.283259;10.275230;10.436150;10.283259;10.337711;5.946395;10.283259;10.286339;8.715012
STICKY_PRICES;0.507759;0.508451;0.500000;0.507303;0.507418;0.498313;0.507303;0.507322;0.506940;0.507303;0.507282;0.509005;0.507303;0.507334;0.491589
TAX_CONSUMPTION;0.000645;0.000665;0.000425;0.001172;0.001169;0.001345;0.001172;0.001171;0.001180;0.001172;0.001171;0.001180;0.001172;0.001171;0.001410
TAX_ESTATE_TRANSACTION;0.000484;0.000527;0.000002;0.001518;0.001520;0.001390;0.001518;0.001520;0.001471;0.001518;0.001518;0.001491;0.001518;0.001518;0.001555
TAX_FIRM;0.000531;0.000540;0.000432;0.000657;0.000658;0.000598;0.000657;0.000657;0.000660;0.000657;0.000657;0.000659;0.000657;0.000657;0.000609
TAX_LABOR;0.000195;0.000201;0.000134;0.000317;0.000317;0.000295;0.000317;0.000317;0.000322;0.000317;0.000317;0.000316;0.000317;0.000317;0.000298
TAX_PROPERTY;0.000002;0.000002;0.000001;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000004
TREASURE_INTO_SERVICES;0.850129;0.836761;1.000000;0.963945;0.962534;1.074283;0.963945;0.962890;0.984035;0.963945;0.960436;1.243457;0.963945;0.963549;1.165524
WAGE_IGNORE_UNEMPLOYMENT_False;0.995690;0.995305;1.000000;0.498210;0.497878;0.524149;0.498210;0.497879;0.504510;0.498210;0.496031;0.671774;0.498210;0.497555;0.831633
WAGE_IGNORE_UNEMPLOYMENT_True;0.004310;0.004695;0.000000;0.501790;0.502122;0.475851;0.501790;0.502121;0.495490;0.501790;0.503969;0.328226;0.501790;0.502445;0.168367
