;tot_actual;actual_0;actual_1;tot_Tree;Tree_0;Tree_1;tot_SVC;SVC_0;SVC_1;tot_MPL;MPL_0;MPL_1;tot_Voting;Voting_0;Voting_1
PROCESSING_ACPS_JUIZ DE FORA;0.004310;0.004808;0.000000;0.021100;0.021422;0.018791;0.021100;0.027907;0.016399;0.021100;0.023755;0.014815;0.021100;0.021959;0.016173
PROCESSING_ACPS_JUNDIAI;0.004310;0.000000;0.041667;0.019900;0.018345;0.031046;0.019900;0.006610;0.029079;0.019900;0.012233;0.038047;0.019900;0.016674;0.038410
PROCESSING_ACPS_LONDRINA;0.004310;0.004808;0.000000;0.021000;0.021992;0.013889;0.021000;0.023011;0.019611;0.021000;0.020199;0.022896;0.021000;0.021606;0.017520
PROCESSING_ACPS_MACAPA;0.004310;0.004808;0.000000;0.022400;0.023017;0.017974;0.022400;0.023256;0.021809;0.022400;0.022902;0.021212;0.022400;0.022076;0.024259
PROCESSING_ACPS_MACEIO;0.004310;0.004808;0.000000;0.022500;0.023017;0.018791;0.022500;0.027907;0.018766;0.022500;0.024609;0.017508;0.022500;0.023837;0.014825
PROCESSING_ACPS_MANAUS;0.004310;0.004808;0.000000;0.023000;0.023017;0.022876;0.023000;0.031089;0.017413;0.023000;0.027027;0.013468;0.023000;0.023955;0.017520
PROCESSING_ACPS_MARINGA;0.004310;0.000000;0.041667;0.020100;0.016978;0.042484;0.020100;0.005630;0.030093;0.020100;0.012376;0.038384;0.020100;0.017144;0.037062
PROCESSING_ACPS_NATAL;0.004310;0.004808;0.000000;0.020400;0.021080;0.015523;0.020400;0.019584;0.020964;0.020400;0.019346;0.022896;0.020400;0.021137;0.016173
PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;0.004310;0.000000;0.041667;0.023800;0.024613;0.017974;0.023800;0.022277;0.024852;0.023800;0.024040;0.023232;0.023800;0.024894;0.017520
PROCESSING_ACPS_PELOTAS - RIO GRANDE;0.004310;0.000000;0.041667;0.023200;0.019941;0.046569;0.023200;0.006365;0.034827;0.023200;0.015932;0.040404;0.023200;0.018671;0.049191
PROCESSING_ACPS_PETROLINA - JUAZEIRO;0.004310;0.004808;0.000000;0.022000;0.023245;0.013072;0.022000;0.021053;0.022654;0.022000;0.022048;0.021886;0.022000;0.023016;0.016173
PROCESSING_ACPS_PORTO ALEGRE;0.258621;0.250000;0.333333;0.022100;0.023473;0.012255;0.022100;0.032069;0.015216;0.022100;0.019488;0.028283;0.022100;0.024190;0.010108
PROCESSING_ACPS_RECIFE;0.004310;0.004808;0.000000;0.023500;0.022903;0.027778;0.023500;0.026928;0.021133;0.023500;0.025178;0.019529;0.023500;0.023603;0.022911
PROCESSING_ACPS_RIBEIRAO PRETO;0.004310;0.000000;0.041667;0.021700;0.019827;0.035131;0.021700;0.002938;0.034658;0.021700;0.017354;0.031987;0.021700;0.018084;0.042453
PROCESSING_ACPS_RIO DE JANEIRO;0.021552;0.024038;0.000000;0.022000;0.022675;0.017157;0.022000;0.027417;0.018259;0.022000;0.025462;0.013805;0.022000;0.023603;0.012803
PROCESSING_ACPS_SALVADOR;0.004310;0.004808;0.000000;0.019500;0.019827;0.017157;0.019500;0.018360;0.020287;0.019500;0.021053;0.015825;0.019500;0.020080;0.016173
PROCESSING_ACPS_SANTOS;0.004310;0.004808;0.000000;0.020900;0.021422;0.017157;0.020900;0.025214;0.017921;0.020900;0.022475;0.017172;0.020900;0.021841;0.015499
PROCESSING_ACPS_SAO JOSE DO RIO PRETO;0.004310;0.000000;0.041667;0.020600;0.018345;0.036765;0.020600;0.005875;0.030769;0.020600;0.013798;0.036700;0.020600;0.016909;0.041779
