;tot_actual;actual_0;actual_1;tot_Tree;Tree_0;Tree_1;tot_SVC;SVC_0;SVC_1;tot_MPL;MPL_0;MPL_1;tot_Voting;Voting_0;Voting_1
PERCENTAGE_CHECK_NEW_LOCATION;0.012690;0.013079;0.010067;0.032137;0.032170;0.029528;0.032137;0.032142;0.032117;0.032137;0.032007;0.032481;0.032137;0.032144;0.030396
PROCESSING_ACPS_ARACAJU;0.004310;0.004950;0.000000;0.022320;0.022602;0.000000;0.022320;0.022524;0.021478;0.022320;0.022812;0.021011;0.022320;0.022405;0.002353
PROCESSING_ACPS_BELEM;0.004310;0.004950;0.000000;0.021540;0.021792;0.001605;0.021540;0.021617;0.021222;0.021540;0.021505;0.021633;0.021540;0.021612;0.004706
PROCESSING_ACPS_BELO HORIZONTE;0.073276;0.039604;0.300000;0.021170;0.017174;0.337881;0.021170;0.017095;0.037984;0.021170;0.015547;0.036129;0.021170;0.020166;0.256471
PROCESSING_ACPS_BRASILIA;0.392241;0.415842;0.233333;0.021790;0.022065;0.000000;0.021790;0.025357;0.007074;0.021790;0.024243;0.015264;0.021790;0.021883;0.000000
PROCESSING_ACPS_CAMPINA GRANDE;0.004310;0.004950;0.000000;0.021380;0.021630;0.001605;0.021380;0.021369;0.021427;0.021380;0.021601;0.020791;0.021380;0.021471;0.000000
PROCESSING_ACPS_CAMPINAS;0.008621;0.009901;0.000000;0.021830;0.022095;0.000803;0.021830;0.021766;0.022094;0.021830;0.021973;0.021450;0.021830;0.021923;0.000000
PROCESSING_ACPS_CAMPO GRANDE;0.004310;0.004950;0.000000;0.021730;0.021974;0.002408;0.021730;0.021890;0.021068;0.021730;0.021574;0.022146;0.021730;0.021783;0.009412
PROCESSING_ACPS_CAMPOS DOS GOYTACAZES;0.004310;0.004950;0.000000;0.021880;0.022116;0.003210;0.021880;0.022611;0.018864;0.021880;0.022014;0.021523;0.021880;0.021953;0.004706
PROCESSING_ACPS_CAXIAS DO SUL;0.004310;0.004950;0.000000;0.021500;0.021761;0.000803;0.021500;0.021518;0.021427;0.021500;0.021821;0.020645;0.021500;0.021582;0.002353
PROCESSING_ACPS_CUIABA;0.004310;0.004950;0.000000;0.021730;0.021964;0.003210;0.021730;0.021915;0.020966;0.021730;0.022138;0.020645;0.021730;0.021793;0.007059
PROCESSING_ACPS_CURITIBA;0.051724;0.059406;0.000000;0.021460;0.021721;0.000803;0.021460;0.024313;0.009688;0.021460;0.022661;0.018266;0.021460;0.021542;0.002353
PROCESSING_ACPS_FEIRA DE SANTANA;0.004310;0.004950;0.000000;0.021900;0.022166;0.000803;0.021900;0.022151;0.020863;0.021900;0.022124;0.021304;0.021900;0.021983;0.002353
PROCESSING_ACPS_FLORIANOPOLIS;0.004310;0.004950;0.000000;0.022240;0.022490;0.002408;0.022240;0.022362;0.021735;0.022240;0.022275;0.022146;0.022240;0.022315;0.004706
PROCESSING_ACPS_FORTALEZA;0.004310;0.004950;0.000000;0.021810;0.022065;0.001605;0.021810;0.021518;0.023016;0.021810;0.022413;0.020206;0.021810;0.021883;0.004706
PROCESSING_ACPS_GOIANIA;0.004310;0.004950;0.000000;0.021900;0.022136;0.003210;0.021900;0.021903;0.021888;0.021900;0.022220;0.021048;0.021900;0.021973;0.004706
PROCESSING_ACPS_ILHEUS - ITABUNA;0.004310;0.004950;0.000000;0.022000;0.022267;0.000803;0.022000;0.021779;0.022914;0.022000;0.021808;0.022512;0.022000;0.022074;0.004706
PROCESSING_ACPS_IPATINGA;0.021552;0.024752;0.000000;0.022190;0.022450;0.001605;0.022190;0.022536;0.020761;0.022190;0.022729;0.020755;0.022190;0.022275;0.002353
PROCESSING_ACPS_JOAO PESSOA;0.004310;0.004950;0.000000;0.021740;0.021984;0.002408;0.021740;0.021940;0.020914;0.021740;0.022110;0.020755;0.021740;0.021783;0.011765
PROCESSING_ACPS_JOINVILLE;0.004310;0.004950;0.000000;0.022230;0.022440;0.005618;0.022230;0.022139;0.022606;0.022230;0.022908;0.020425;0.022230;0.022325;0.000000
PROCESSING_ACPS_JUAZEIRO DO NORTE - CRATO - BARBALHA;0.004310;0.004950;0.000000;0.021300;0.021518;0.004013;0.021300;0.021468;0.020607;0.021300;0.021505;0.020755;0.021300;0.021381;0.002353
PROCESSING_ACPS_JUIZ DE FORA;0.004310;0.004950;0.000000;0.022220;0.022470;0.002408;0.022220;0.022126;0.022606;0.022220;0.022922;0.020352;0.022220;0.022295;0.004706
PROCESSING_ACPS_JUNDIAI;0.004310;0.004950;0.000000;0.020420;0.020657;0.001605;0.020420;0.020213;0.021273;0.020420;0.020968;0.018961;0.020420;0.020487;0.004706
PROCESSING_ACPS_LONDRINA;0.004310;0.004950;0.000000;0.021760;0.022024;0.000803;0.021760;0.021853;0.021376;0.021760;0.021794;0.021670;0.021760;0.021843;0.002353
PROCESSING_ACPS_MACAPA;0.004310;0.004950;0.000000;0.020730;0.020951;0.003210;0.020730;0.020983;0.019684;0.020730;0.020817;0.020499;0.020730;0.020798;0.004706
PROCESSING_ACPS_MACEIO;0.004310;0.004950;0.000000;0.021430;0.021680;0.001605;0.021430;0.021418;0.021478;0.021430;0.021629;0.020901;0.021430;0.021501;0.004706
PROCESSING_ACPS_MANAUS;0.004310;0.004950;0.000000;0.022020;0.022247;0.004013;0.022020;0.022089;0.021735;0.022020;0.022152;0.021670;0.022020;0.022104;0.002353
PROCESSING_ACPS_MARINGA;0.004310;0.004950;0.000000;0.021900;0.022156;0.001605;0.021900;0.022077;0.021171;0.021900;0.022303;0.020828;0.021900;0.021953;0.009412
PROCESSING_ACPS_NATAL;0.004310;0.004950;0.000000;0.021170;0.021407;0.002408;0.021170;0.021157;0.021222;0.021170;0.020968;0.021707;0.021170;0.021230;0.007059
PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;0.004310;0.004950;0.000000;0.022310;0.022571;0.001605;0.022310;0.022623;0.021017;0.022310;0.022619;0.021487;0.022310;0.022405;0.000000
PROCESSING_ACPS_PELOTAS - RIO GRANDE;0.004310;0.004950;0.000000;0.021940;0.022166;0.004013;0.021940;0.022176;0.020966;0.021940;0.021890;0.022073;0.021940;0.022014;0.004706
PROCESSING_ACPS_PETROLINA - JUAZEIRO;0.004310;0.004950;0.000000;0.020940;0.021184;0.001605;0.020940;0.020884;0.021171;0.020940;0.021381;0.019766;0.020940;0.021029;0.000000
PROCESSING_ACPS_PORTO ALEGRE;0.258621;0.252475;0.300000;0.021390;0.021619;0.003210;0.021390;0.024313;0.009330;0.021390;0.021078;0.022219;0.021390;0.021461;0.004706
PROCESSING_ACPS_RECIFE;0.004310;0.004950;0.000000;0.021000;0.021245;0.001605;0.021000;0.021257;0.019941;0.021000;0.020597;0.022073;0.021000;0.021080;0.002353
PROCESSING_ACPS_RIBEIRAO PRETO;0.004310;0.004950;0.000000;0.021570;0.021842;0.000000;0.021570;0.021592;0.021478;0.021570;0.021863;0.020791;0.021570;0.021632;0.007059
PROCESSING_ACPS_RIO DE JANEIRO;0.021552;0.000000;0.166667;0.021510;0.014582;0.570626;0.021510;0.008237;0.076276;0.021510;0.016318;0.035323;0.021510;0.019272;0.545882
PROCESSING_ACPS_SALVADOR;0.004310;0.004950;0.000000;0.022360;0.022602;0.003210;0.022360;0.022487;0.021837;0.022360;0.022606;0.021707;0.022360;0.022425;0.007059
PROCESSING_ACPS_SANTOS;0.004310;0.004950;0.000000;0.021940;0.022197;0.001605;0.021940;0.021965;0.021837;0.021940;0.021904;0.022036;0.021940;0.022004;0.007059
PROCESSING_ACPS_SAO JOSE DO RIO PRETO;0.004310;0.004950;0.000000;0.022410;0.022662;0.002408;0.022410;0.022673;0.021325;0.022410;0.022152;0.023097;0.022410;0.022496;0.002353
PROCESSING_ACPS_SAO JOSE DOS CAMPOS;0.004310;0.004950;0.000000;0.021890;0.022136;0.002408;0.021890;0.022015;0.021376;0.021890;0.021986;0.021633;0.021890;0.021963;0.004706
PROCESSING_ACPS_SAO LUIS;0.004310;0.004950;0.000000;0.022360;0.022602;0.003210;0.022360;0.022474;0.021888;0.022360;0.022124;0.022988;0.022360;0.022415;0.009412
PROCESSING_ACPS_SAO PAULO;0.004310;0.004950;0.000000;0.021420;0.021690;0.000000;0.021420;0.021903;0.019428;0.021420;0.021629;0.020865;0.021420;0.021501;0.002353
PROCESSING_ACPS_SOROCABA;0.008621;0.009901;0.000000;0.022030;0.022288;0.001605;0.022030;0.025357;0.008304;0.022030;0.022468;0.020865;0.022030;0.022104;0.004706
PROCESSING_ACPS_TERESINA;0.004310;0.004950;0.000000;0.020870;0.021113;0.001605;0.020870;0.021170;0.019633;0.020870;0.021037;0.020425;0.020870;0.020939;0.004706
PROCESSING_ACPS_UBERLANDIA;0.004310;0.004950;0.000000;0.021990;0.022247;0.001605;0.021990;0.022213;0.021068;0.021990;0.021780;0.022548;0.021990;0.022054;0.007059
PROCESSING_ACPS_VITORIA;0.004310;0.004950;0.000000;0.022360;0.022602;0.003210;0.022360;0.022375;0.022299;0.022360;0.022647;0.021597;0.022360;0.022405;0.011765
PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;0.004310;0.004950;0.000000;0.022420;0.022652;0.004013;0.022420;0.022599;0.021683;0.022420;0.022385;0.022512;0.022420;0.022486;0.007059
PRODUCTION_MAGNITUDE;80.661638;81.353960;76.000000;81.304710;81.364317;76.580412;81.304710;78.465514;93.019522;81.304710;95.030137;44.788812;81.304710;81.323608;76.877025
SIZE_MARKET;10.206897;10.237624;10.000000;10.283259;10.284883;10.154515;10.283259;9.810295;12.234756;10.283259;9.919245;11.251701;10.283259;10.286086;9.620742
STICKY_PRICES;0.507759;0.508911;0.500000;0.507303;0.507492;0.492359;0.507303;0.508388;0.502826;0.507303;0.507077;0.507906;0.507303;0.507370;0.491693
TAX_CONSUMPTION;0.000645;0.000680;0.000412;0.001172;0.001171;0.001250;0.001172;0.001170;0.001178;0.001172;0.001169;0.001178;0.001172;0.001171;0.001207
TAX_ESTATE_TRANSACTION;0.000484;0.000556;0.000002;0.001518;0.001519;0.001421;0.001518;0.001515;0.001530;0.001518;0.001523;0.001506;0.001518;0.001518;0.001528
TAX_FIRM;0.000531;0.000545;0.000435;0.000657;0.000658;0.000570;0.000657;0.000657;0.000659;0.000657;0.000657;0.000657;0.000657;0.000657;0.000599
TAX_LABOR;0.000195;0.000205;0.000133;0.000317;0.000317;0.000297;0.000317;0.000317;0.000318;0.000317;0.000317;0.000318;0.000317;0.000317;0.000284
TAX_PROPERTY;0.000002;0.000002;0.000001;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003
TREASURE_INTO_SERVICES;0.850129;0.827871;1.000000;0.963945;0.962113;1.109129;0.963945;0.946435;1.036193;0.963945;0.922408;1.074454;0.963945;0.962791;1.234305
WAGE_IGNORE_UNEMPLOYMENT_False;0.995690;0.995050;1.000000;0.498210;0.497600;0.546549;0.498210;0.491130;0.527425;0.498210;0.481997;0.541345;0.498210;0.497454;0.675294
WAGE_IGNORE_UNEMPLOYMENT_True;0.004310;0.004950;0.000000;0.501790;0.502400;0.453451;0.501790;0.508870;0.472575;0.501790;0.518003;0.458655;0.501790;0.502546;0.324706
