;tot_actual;actual_0;actual_1;tot_Tree;Tree_0;Tree_1;tot_SVC;SVC_0;SVC_1;tot_MPL;MPL_0;MPL_1;tot_Voting;Voting_0;Voting_1
ALPHA;0.247845;0.249010;0.240000;0.258890;0.259015;0.249006;0.258890;0.259381;0.256863;0.258890;0.258853;0.258987;0.258890;0.258916;0.252680
ALTERNATIVE0_False;0.077586;0.059406;0.200000;0.500710;0.500000;0.556982;0.500710;0.499180;0.507023;0.500710;0.481089;0.552912;0.500710;0.500708;0.501176
ALTERNATIVE0_True;0.922414;0.940594;0.800000;0.499290;0.500000;0.443018;0.499290;0.500820;0.492977;0.499290;0.518911;0.447088;0.499290;0.499292;0.498824
BETA;0.700733;0.698119;0.718333;0.700867;0.700589;0.722876;0.700867;0.697495;0.714778;0.700867;0.700832;0.700961;0.700867;0.700778;0.721804
FPM_DISTRIBUTION_False;0.077586;0.064356;0.166667;0.499130;0.497924;0.594703;0.499130;0.495453;0.514302;0.499130;0.467344;0.583696;0.499130;0.498750;0.588235
FPM_DISTRIBUTION_True;0.922414;0.935644;0.833333;0.500870;0.502076;0.405297;0.500870;0.504547;0.485698;0.500870;0.532656;0.416304;0.500870;0.501250;0.411765
HOUSE_VACANCY;0.060948;0.062574;0.050000;0.077632;0.077859;0.059661;0.077632;0.077720;0.077269;0.077632;0.077643;0.077601;0.077632;0.077664;0.070146
LABOR_MARKET;0.067457;0.068020;0.063667;0.140088;0.139982;0.148446;0.140088;0.140091;0.140073;0.140088;0.140104;0.140045;0.140088;0.140096;0.138252
MARKUP;0.213685;0.216376;0.195567;0.238241;0.238562;0.212814;0.238241;0.269091;0.110953;0.238241;0.239695;0.234373;0.238241;0.238588;0.157098
MEMBERS_PER_FAMILY;2.510776;2.512376;2.500000;2.510673;2.510753;2.504325;2.510673;2.503827;2.538918;2.510673;2.490207;2.565119;2.510673;2.510415;2.570934
PCT_DISTANCE_HIRING;0.187069;0.181436;0.225000;0.244514;0.244191;0.270086;0.244514;0.243811;0.247412;0.244514;0.244381;0.244867;0.244514;0.244477;0.253085
PERCENTAGE_ACTUAL_POP;0.018578;0.018366;0.020000;0.019071;0.019034;0.022054;0.019071;0.019061;0.019114;0.019071;0.019064;0.019090;0.019071;0.019065;0.020602
