;tot_actual;actual_0;actual_1;tot_Tree;Tree_0;Tree_1;tot_SVC;SVC_0;SVC_1;tot_MPL;MPL_0;MPL_1;tot_Voting;Voting_0;Voting_1
ALPHA;0.247845;0.249146;0.240000;0.258890;0.259510;0.247438;0.258890;0.259147;0.257248;0.258890;0.258909;0.257969;0.258890;0.259143;0.254767
ALTERNATIVE0_False;0.077586;0.075377;0.090909;0.500710;0.500822;0.498638;0.500710;0.500960;0.499113;0.500710;0.500995;0.486914;0.500710;0.493727;0.614493
ALTERNATIVE0_True;0.922414;0.924623;0.909091;0.499290;0.499178;0.501362;0.499290;0.499040;0.500887;0.499290;0.499005;0.513086;0.499290;0.506273;0.385507
BETA;0.700733;0.698191;0.716061;0.700867;0.700839;0.701379;0.700867;0.700891;0.700713;0.700867;0.700829;0.702683;0.700867;0.700777;0.702333
FPM_DISTRIBUTION_False;0.077586;0.075377;0.090909;0.499130;0.511111;0.277929;0.499130;0.561734;0.099098;0.499130;0.498668;0.521481;0.499130;0.517067;0.206849
FPM_DISTRIBUTION_True;0.922414;0.924623;0.909091;0.500870;0.488889;0.722071;0.500870;0.438266;0.900902;0.500870;0.501332;0.478519;0.500870;0.482933;0.793151
HOUSE_VACANCY;0.060948;0.062764;0.050000;0.077632;0.078748;0.057027;0.077632;0.077652;0.077504;0.077632;0.077674;0.075610;0.077632;0.077955;0.072370
LABOR_MARKET;0.067457;0.070352;0.050000;0.140088;0.141277;0.118138;0.140088;0.140052;0.140319;0.140088;0.140478;0.121204;0.140088;0.140394;0.135101
MARKUP;0.213685;0.210302;0.234091;0.238241;0.235963;0.280305;0.238241;0.239099;0.232763;0.238241;0.238205;0.240020;0.238241;0.237928;0.243351
MEMBERS_PER_FAMILY;2.510776;2.512563;2.500000;2.510673;2.510770;2.508873;2.510673;2.511518;2.505270;2.510673;2.508799;2.601335;2.510673;2.505824;2.589680
PCT_DISTANCE_HIRING;0.187069;0.184925;0.200000;0.244514;0.242974;0.272936;0.244514;0.245068;0.240970;0.244514;0.244881;0.226748;0.244514;0.245326;0.231282
PERCENTAGE_ACTUAL_POP;0.018578;0.018342;0.020000;0.019071;0.018971;0.020931;0.019071;0.019068;0.019093;0.019071;0.019067;0.019268;0.019071;0.019049;0.019434
PERCENTAGE_CHECK_NEW_LOCATION;0.012690;0.008794;0.036182;0.032137;0.031561;0.042773;0.032137;0.027360;0.062660;0.032137;0.031985;0.039464;0.032137;0.031609;0.040745
PROCESSING_ACPS_ARACAJU;0.004310;0.005025;0.000000;0.022320;0.022802;0.013429;0.022320;0.023708;0.013450;0.022320;0.022353;0.020741;0.022320;0.022947;0.012107
PROCESSING_ACPS_BELEM;0.004310;0.005025;0.000000;0.021540;0.022148;0.010315;0.021540;0.022656;0.014410;0.021540;0.021536;0.021728;0.021540;0.022172;0.011242
PROCESSING_ACPS_BELO HORIZONTE;0.073276;0.035176;0.303030;0.021170;0.016308;0.110938;0.021170;0.011993;0.079811;0.021170;0.020985;0.030123;0.021170;0.015963;0.106019
PROCESSING_ACPS_BRASILIA;0.392241;0.432161;0.151515;0.021790;0.022433;0.009926;0.021790;0.023199;0.012785;0.021790;0.021424;0.039506;0.021790;0.021376;0.028537
PROCESSING_ACPS_CAMPINA GRANDE;0.004310;0.005025;0.000000;0.021380;0.021884;0.012067;0.021380;0.022459;0.014484;0.021380;0.021403;0.020247;0.021380;0.021949;0.012107
PROCESSING_ACPS_CAMPINAS;0.008621;0.010050;0.000000;0.021830;0.022243;0.014208;0.021830;0.022841;0.015371;0.021830;0.021914;0.017778;0.021830;0.022416;0.012279
PROCESSING_ACPS_CAMPO GRANDE;0.004310;0.005025;0.000000;0.021730;0.022043;0.015960;0.021730;0.022945;0.013967;0.021730;0.021791;0.018765;0.021730;0.022055;0.016430
PROCESSING_ACPS_CAMPOS DOS GOYTACAZES;0.004310;0.005025;0.000000;0.021880;0.022538;0.009731;0.021880;0.022771;0.016184;0.021880;0.021934;0.019259;0.021880;0.022469;0.012279
PROCESSING_ACPS_CAXIAS DO SUL;0.004310;0.005025;0.000000;0.021500;0.022043;0.011483;0.021500;0.022459;0.015371;0.021500;0.021618;0.015802;0.021500;0.022076;0.012107
PROCESSING_ACPS_CUIABA;0.004310;0.005025;0.000000;0.021730;0.022137;0.014208;0.021730;0.021661;0.022170;0.021730;0.021812;0.017778;0.021730;0.022161;0.014701
PROCESSING_ACPS_CURITIBA;0.051724;0.060302;0.000000;0.021460;0.022369;0.004671;0.021460;0.023026;0.011454;0.021460;0.021710;0.009383;0.021460;0.022565;0.003459
PROCESSING_ACPS_FEIRA DE SANTANA;0.004310;0.005025;0.000000;0.021900;0.022443;0.011872;0.021900;0.022910;0.015445;0.021900;0.021863;0.023704;0.021900;0.022257;0.016084
PROCESSING_ACPS_FLORIANOPOLIS;0.004310;0.005025;0.000000;0.022240;0.022696;0.013819;0.022240;0.022656;0.019583;0.022240;0.022271;0.020741;0.022240;0.022522;0.017641
PROCESSING_ACPS_FORTALEZA;0.004310;0.005025;0.000000;0.021810;0.022095;0.016543;0.021810;0.021892;0.021283;0.021810;0.021904;0.017284;0.021810;0.021928;0.019889
PROCESSING_ACPS_GOIANIA;0.004310;0.005025;0.000000;0.021900;0.022222;0.015960;0.021900;0.022089;0.020692;0.021900;0.021965;0.018765;0.021900;0.022076;0.019025
PROCESSING_ACPS_ILHEUS - ITABUNA;0.004310;0.005025;0.000000;0.022000;0.022338;0.015765;0.022000;0.023118;0.014854;0.022000;0.022046;0.019753;0.022000;0.022395;0.015566
PROCESSING_ACPS_IPATINGA;0.021552;0.025126;0.000000;0.022190;0.022928;0.008564;0.022190;0.023037;0.016775;0.022190;0.022363;0.013827;0.022190;0.022830;0.011761
PROCESSING_ACPS_JOAO PESSOA;0.004310;0.005025;0.000000;0.021740;0.022201;0.013235;0.021740;0.022887;0.014410;0.021740;0.021863;0.015802;0.021740;0.022342;0.011934
PROCESSING_ACPS_JOINVILLE;0.004310;0.005025;0.000000;0.022230;0.022707;0.013429;0.022230;0.023037;0.017071;0.022230;0.022291;0.019259;0.022230;0.022819;0.012625
PROCESSING_ACPS_JUAZEIRO DO NORTE - CRATO - BARBALHA;0.004310;0.005025;0.000000;0.021300;0.021684;0.014208;0.021300;0.022216;0.015445;0.021300;0.021332;0.019753;0.021300;0.021758;0.013836
PROCESSING_ACPS_JUIZ DE FORA;0.004310;0.005025;0.000000;0.022220;0.022643;0.014402;0.022220;0.023061;0.016849;0.022220;0.022414;0.012840;0.022220;0.022671;0.014874
PROCESSING_ACPS_JUNDIAI;0.004310;0.005025;0.000000;0.020420;0.020778;0.013819;0.020420;0.021488;0.013597;0.020420;0.020577;0.012840;0.020420;0.020920;0.012279
PROCESSING_ACPS_LONDRINA;0.004310;0.005025;0.000000;0.021760;0.022074;0.015960;0.021760;0.021754;0.021800;0.021760;0.021791;0.020247;0.021760;0.022055;0.016949
PROCESSING_ACPS_MACAPA;0.004310;0.005025;0.000000;0.020730;0.021189;0.012262;0.020730;0.021002;0.018992;0.020730;0.020862;0.014321;0.020730;0.020782;0.019889
PROCESSING_ACPS_MACEIO;0.004310;0.005025;0.000000;0.021430;0.021853;0.013624;0.021430;0.022575;0.014115;0.021430;0.021383;0.023704;0.021430;0.021779;0.015738
PROCESSING_ACPS_MANAUS;0.004310;0.005025;0.000000;0.022020;0.022338;0.016154;0.022020;0.023014;0.015667;0.022020;0.022179;0.014321;0.022020;0.022289;0.017641
PROCESSING_ACPS_MARINGA;0.004310;0.005025;0.000000;0.021900;0.022274;0.014986;0.021900;0.022818;0.016036;0.021900;0.021975;0.018272;0.021900;0.022395;0.013836
PROCESSING_ACPS_NATAL;0.004310;0.005025;0.000000;0.021170;0.021463;0.015765;0.021170;0.021418;0.019583;0.021170;0.021005;0.029136;0.021170;0.021514;0.015566
PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;0.004310;0.005025;0.000000;0.022310;0.022717;0.014792;0.022310;0.022656;0.020101;0.022310;0.022353;0.020247;0.022310;0.022639;0.016949
PROCESSING_ACPS_PELOTAS - RIO GRANDE;0.004310;0.005025;0.000000;0.021940;0.022485;0.011872;0.021940;0.022887;0.015888;0.021940;0.021975;0.020247;0.021940;0.022427;0.014009
PROCESSING_ACPS_PETROLINA - JUAZEIRO;0.004310;0.005025;0.000000;0.020940;0.021305;0.014208;0.020940;0.020805;0.021800;0.020940;0.020944;0.020741;0.020940;0.021111;0.018160
PROCESSING_ACPS_PORTO ALEGRE;0.258621;0.246231;0.333333;0.021390;0.022053;0.009148;0.021390;0.022667;0.013228;0.021390;0.021077;0.036543;0.021390;0.021058;0.026807
PROCESSING_ACPS_RECIFE;0.004310;0.005025;0.000000;0.021000;0.021421;0.013235;0.021000;0.022216;0.013228;0.021000;0.021169;0.012840;0.021000;0.021450;0.013663
PROCESSING_ACPS_RIBEIRAO PRETO;0.004310;0.005025;0.000000;0.021570;0.021958;0.014402;0.021570;0.022552;0.015297;0.021570;0.021567;0.021728;0.021570;0.022130;0.012452
PROCESSING_ACPS_RIO DE JANEIRO;0.021552;0.000000;0.151515;0.021510;0.009888;0.236084;0.021510;0.003123;0.139004;0.021510;0.020219;0.083951;0.021510;0.012301;0.171567
PROCESSING_ACPS_SALVADOR;0.004310;0.000000;0.030303;0.022360;0.022770;0.014792;0.022360;0.022714;0.020101;0.022360;0.022373;0.021728;0.022360;0.022681;0.017122
PROCESSING_ACPS_SANTOS;0.004310;0.005025;0.000000;0.021940;0.022306;0.015181;0.021940;0.022922;0.015667;0.021940;0.022077;0.015309;0.021940;0.022490;0.012971
PROCESSING_ACPS_SAO JOSE DO RIO PRETO;0.004310;0.005025;0.000000;0.022410;0.022939;0.012651;0.022410;0.023488;0.015519;0.022410;0.022475;0.019259;0.022410;0.022926;0.014009
PROCESSING_ACPS_SAO JOSE DOS CAMPOS;0.004310;0.005025;0.000000;0.021890;0.022348;0.013429;0.021890;0.022818;0.015962;0.021890;0.021893;0.021728;0.021890;0.022278;0.015566
PROCESSING_ACPS_SAO LUIS;0.004310;0.005025;0.000000;0.022360;0.022875;0.012845;0.022360;0.023454;0.015371;0.022360;0.022373;0.021728;0.022360;0.022809;0.015047
PROCESSING_ACPS_SAO PAULO;0.004310;0.000000;0.030303;0.021420;0.017615;0.091670;0.021420;0.012756;0.076781;0.021420;0.020873;0.047901;0.021420;0.018149;0.074715
PROCESSING_ACPS_SOROCABA;0.008621;0.010050;0.000000;0.022030;0.022707;0.009537;0.022030;0.023142;0.014928;0.022030;0.022210;0.013333;0.022030;0.022607;0.012625
PROCESSING_ACPS_TERESINA;0.004310;0.005025;0.000000;0.020870;0.021305;0.012845;0.020870;0.021997;0.013671;0.020870;0.021036;0.012840;0.020870;0.021376;0.012625
PROCESSING_ACPS_UBERLANDIA;0.004310;0.005025;0.000000;0.021990;0.022654;0.009731;0.021990;0.023188;0.014336;0.021990;0.021965;0.023210;0.021990;0.022246;0.017814
PROCESSING_ACPS_VITORIA;0.004310;0.005025;0.000000;0.022360;0.022749;0.015181;0.022360;0.022459;0.021726;0.022360;0.022302;0.025185;0.022360;0.022692;0.016949
PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;0.004310;0.005025;0.000000;0.022420;0.023033;0.011094;0.022420;0.023465;0.015740;0.022420;0.022557;0.015802;0.022420;0.023148;0.010550
PRODUCTION_MAGNITUDE;80.661638;81.645729;74.727273;81.304710;81.650315;74.923864;81.304710;78.659436;98.207716;81.304710;82.275253;34.347201;81.304710;81.663345;75.460731
SIZE_MARKET;10.206897;10.241206;10.000000;10.283259;10.292979;10.103795;10.283259;10.283156;10.283912;10.283259;10.309228;9.026818;10.283259;10.517250;6.470356
STICKY_PRICES;0.507759;0.509045;0.500000;0.507303;0.508363;0.487745;0.507303;0.508437;0.500060;0.507303;0.507284;0.508243;0.507303;0.507683;0.501109
TAX_CONSUMPTION;0.000645;0.000687;0.000392;0.001172;0.001176;0.001081;0.001172;0.001171;0.001174;0.001172;0.001172;0.001174;0.001172;0.001173;0.001150
TAX_ESTATE_TRANSACTION;0.000484;0.000564;0.000001;0.001518;0.001521;0.001468;0.001518;0.001519;0.001509;0.001518;0.001518;0.001520;0.001518;0.001518;0.001514
TAX_FIRM;0.000531;0.000547;0.000434;0.000657;0.000664;0.000537;0.000657;0.000657;0.000658;0.000657;0.000657;0.000657;0.000657;0.000658;0.000635
TAX_LABOR;0.000195;0.000206;0.000133;0.000317;0.000319;0.000273;0.000317;0.000317;0.000317;0.000317;0.000317;0.000312;0.000317;0.000317;0.000310
TAX_PROPERTY;0.000002;0.000002;0.000001;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003
TREASURE_INTO_SERVICES;0.850129;0.825276;1.000000;0.963945;0.955124;1.126803;0.963945;0.965078;0.956710;0.963945;0.963336;0.993415;0.963945;0.947934;1.224852
WAGE_IGNORE_UNEMPLOYMENT_False;0.995690;1.000000;0.969697;0.498210;0.519407;0.106851;0.498210;0.500601;0.482929;0.498210;0.499525;0.434568;0.498210;0.514328;0.235559
WAGE_IGNORE_UNEMPLOYMENT_True;0.004310;0.000000;0.030303;0.501790;0.480593;0.893149;0.501790;0.499399;0.517071;0.501790;0.500475;0.565432;0.501790;0.485672;0.764441
