;tot_actual;actual_0;actual_1;tot_Tree;Tree_0;Tree_1;tot_SVC;SVC_0;SVC_1;tot_MPL;MPL_0;MPL_1;tot_Voting;Voting_0;Voting_1
PROCESSING_ACPS_JUIZ DE FORA;0.004310;0.000000;0.018182;0.022220;0.022042;0.039010;0.022220;0.019560;0.032189;0.022220;0.017394;0.028919;0.022220;0.020973;0.030574
PROCESSING_ACPS_JUNDIAI;0.004310;0.000000;0.018182;0.020420;0.020344;0.027593;0.020420;0.017888;0.029910;0.020420;0.016069;0.026460;0.020420;0.019261;0.028186
PROCESSING_ACPS_LONDRINA;0.004310;0.000000;0.018182;0.021760;0.021840;0.014272;0.021760;0.022170;0.020225;0.021760;0.022348;0.020943;0.021760;0.021996;0.020177
PROCESSING_ACPS_MACAPA;0.004310;0.005650;0.000000;0.020730;0.020859;0.008563;0.020730;0.021511;0.017804;0.020730;0.021041;0.020299;0.020730;0.020950;0.019253
PROCESSING_ACPS_MACEIO;0.004310;0.005650;0.000000;0.021430;0.021617;0.003806;0.021430;0.025134;0.007549;0.021430;0.027544;0.012943;0.021430;0.023306;0.008856
PROCESSING_ACPS_MANAUS;0.004310;0.005650;0.000000;0.022020;0.022244;0.000951;0.022020;0.025615;0.008546;0.022020;0.027561;0.014328;0.022020;0.023732;0.010551
PROCESSING_ACPS_MARINGA;0.004310;0.000000;0.018182;0.021900;0.021708;0.039962;0.021900;0.019053;0.032569;0.021900;0.016138;0.029899;0.021900;0.020675;0.030112
PROCESSING_ACPS_NATAL;0.004310;0.005650;0.000000;0.021170;0.021213;0.017127;0.021170;0.022170;0.017424;0.021170;0.021970;0.020060;0.021170;0.021720;0.017482
PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;0.004310;0.000000;0.018182;0.022310;0.022405;0.013321;0.022310;0.022714;0.020795;0.022310;0.022314;0.022304;0.022310;0.022433;0.021486
PROCESSING_ACPS_PELOTAS - RIO GRANDE;0.004310;0.000000;0.018182;0.021940;0.021819;0.033302;0.021940;0.019788;0.030005;0.021940;0.017669;0.027869;0.021940;0.020870;0.029111
PROCESSING_ACPS_PETROLINA - JUAZEIRO;0.004310;0.005650;0.000000;0.020940;0.021041;0.011418;0.020940;0.021308;0.019560;0.020940;0.021041;0.020800;0.020940;0.021157;0.019484
PROCESSING_ACPS_PORTO ALEGRE;0.258621;0.259887;0.254545;0.021390;0.021577;0.003806;0.021390;0.019636;0.027964;0.021390;0.019596;0.023881;0.021390;0.020950;0.024336
PROCESSING_ACPS_RECIFE;0.004310;0.005650;0.000000;0.021000;0.021213;0.000951;0.021000;0.024564;0.007644;0.021000;0.027320;0.012227;0.021000;0.022824;0.008779
PROCESSING_ACPS_RIBEIRAO PRETO;0.004310;0.000000;0.018182;0.021570;0.021405;0.037108;0.021570;0.019180;0.030527;0.021570;0.017652;0.027009;0.021570;0.020514;0.028648
PROCESSING_ACPS_RIO DE JANEIRO;0.021552;0.000000;0.090909;0.021510;0.019545;0.206470;0.021510;0.010768;0.061767;0.021510;0.006830;0.041887;0.021510;0.015629;0.060916
PROCESSING_ACPS_SALVADOR;0.004310;0.005650;0.000000;0.022360;0.022466;0.012369;0.022360;0.022866;0.020462;0.022360;0.022176;0.022615;0.022360;0.022640;0.020485
PROCESSING_ACPS_SANTOS;0.004310;0.000000;0.018182;0.021940;0.021961;0.019981;0.021940;0.019788;0.030005;0.021940;0.016258;0.029827;0.021940;0.020939;0.028648
PROCESSING_ACPS_SAO JOSE DO RIO PRETO;0.004310;0.000000;0.018182;0.022410;0.022284;0.034253;0.022410;0.019851;0.031999;0.022410;0.016378;0.030782;0.022410;0.021019;0.031729
PROCESSING_ACPS_SAO JOSE DOS CAMPOS;0.004310;0.000000;0.018182;0.021890;0.021759;0.034253;0.021890;0.019813;0.029673;0.021890;0.017634;0.027797;0.021890;0.020767;0.029419
PROCESSING_ACPS_SAO LUIS;0.004310;0.005650;0.000000;0.022360;0.022587;0.000951;0.022360;0.025818;0.009400;0.022360;0.028697;0.013564;0.022360;0.024168;0.010243
PROCESSING_ACPS_SAO PAULO;0.004310;0.000000;0.018182;0.021420;0.021294;0.033302;0.021420;0.019142;0.029958;0.021420;0.017927;0.026269;0.021420;0.020468;0.027801
PROCESSING_ACPS_SOROCABA;0.008621;0.005650;0.018182;0.022030;0.022021;0.022835;0.022030;0.019053;0.033186;0.022030;0.020095;0.024716;0.022030;0.021238;0.027339
PROCESSING_ACPS_TERESINA;0.004310;0.005650;0.000000;0.020870;0.021082;0.000951;0.020870;0.024171;0.008498;0.020870;0.027665;0.011439;0.020870;0.022617;0.009164
PROCESSING_ACPS_UBERLANDIA;0.004310;0.000000;0.018182;0.021990;0.022021;0.019029;0.021990;0.020193;0.028723;0.021990;0.017049;0.028848;0.021990;0.021088;0.028032
PROCESSING_ACPS_VITORIA;0.004310;0.000000;0.018182;0.022360;0.022456;0.013321;0.022360;0.022740;0.020937;0.022360;0.022486;0.022185;0.022360;0.022536;0.021178
PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;0.004310;0.000000;0.018182;0.022420;0.022456;0.019029;0.022420;0.020548;0.029436;0.022420;0.016465;0.030687;0.022420;0.021445;0.028956
PRODUCTION_MAGNITUDE;80.661638;83.101695;72.809091;81.304710;81.371249;75.040202;81.304710;78.505963;91.793465;81.304710;84.275504;77.181069;81.304710;79.290730;94.800774
SIZE_MARKET;10.206897;10.271186;10.000000;10.283259;10.284109;10.203237;10.283259;10.253868;10.393405;10.283259;12.303094;7.479607;10.283259;10.595651;8.189857
STICKY_PRICES;0.507759;0.510169;0.500000;0.507303;0.507500;0.488796;0.507303;0.507519;0.506495;0.507303;0.506567;0.508325;0.507303;0.508030;0.502434
TAX_CONSUMPTION;0.000645;0.000724;0.000392;0.001172;0.001173;0.001041;0.001172;0.001172;0.001171;0.001172;0.001172;0.001170;0.001172;0.001172;0.001167
TAX_ESTATE_TRANSACTION;0.000484;0.000634;0.000001;0.001518;0.001520;0.001342;0.001518;0.001518;0.001519;0.001518;0.001520;0.001515;0.001518;0.001520;0.001507
TAX_FIRM;0.000531;0.000561;0.000433;0.000657;0.000659;0.000488;0.000657;0.000657;0.000659;0.000657;0.000656;0.000659;0.000657;0.000658;0.000652
TAX_LABOR;0.000195;0.000215;0.000133;0.000317;0.000318;0.000251;0.000317;0.000318;0.000315;0.000317;0.000317;0.000317;0.000317;0.000318;0.000313
TAX_PROPERTY;0.000002;0.000002;0.000001;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003
TREASURE_INTO_SERVICES;0.850129;0.803559;1.000000;0.963945;0.961712;1.174241;0.963945;0.962418;0.969669;0.963945;0.871987;1.091589;0.963945;0.952678;1.039449
WAGE_IGNORE_UNEMPLOYMENT_False;0.995690;1.000000;0.981818;0.498210;0.500662;0.267364;0.498210;0.499272;0.494232;0.498210;0.512637;0.478185;0.498210;0.513785;0.393839
WAGE_IGNORE_UNEMPLOYMENT_True;0.004310;0.000000;0.018182;0.501790;0.499338;0.732636;0.501790;0.500728;0.505768;0.501790;0.487363;0.521815;0.501790;0.486215;0.606161
