;count;mean;std;min;25%;50%;75%;max
PROCESSING_ACPS_PELOTAS - RIO GRANDE;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_PETROLINA - JUAZEIRO;232.0;0.004310344827586207;0.06565321642986126;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_PORTO ALEGRE;232.0;0.25862068965517243;0.43882348915597047;0.0;0.0;0.0;1.0;1.0
PROCESSING_ACPS_RECIFE;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_RIBEIRAO PRETO;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_RIO DE JANEIRO;232.0;0.021551724137931036;0.14552846494610117;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_SALVADOR;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_SANTOS;232.0;0.004310344827586207;0.06565321642986126;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_SAO JOSE DO RIO PRETO;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_SAO JOSE DOS CAMPOS;232.0;0.004310344827586207;0.06565321642986126;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_SAO LUIS;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_SAO PAULO;232.0;0.004310344827586207;0.06565321642986126;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_SOROCABA;232.0;0.008620689655172414;0.0926464821368635;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_TERESINA;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_UBERLANDIA;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_VITORIA;232.0;0.004310344827586207;0.06565321642986126;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
WAGE_IGNORE_UNEMPLOYMENT_False;232.0;0.9956896551724138;0.06565321642986127;0.0;1.0;1.0;1.0;1.0
WAGE_IGNORE_UNEMPLOYMENT_True;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
